Unnamed: 0,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,neighborhood_id,rent_price,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,energy_certificate,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,built_usable_diff
4895,"Palomeras sureste, Madrid",60.0,56.0,3,1.0,0,Neighborhood 87: Palomeras sureste (2076.58 €/m2) - District 13: Puente de Vallecas,658,128000,2133,apartment,0,0,1977.0,0,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,0,0,1,0,4.0
4896,"Puente de Vallecas, Madrid",80.0,70.0,3,1.0,8,Neighborhood 87: Palomeras sureste (2076.58 €/m2) - District 13: Puente de Vallecas,1009,229950,2874,apartment,0,0,1985.0,1,1,1,1,1,1,1,1,1,1,1,1,1,E,0,1,,0,0,1,1,10.0
4897,"Palomeras sureste, Madrid",105.0,88.71764540205605,3,2.0,5,Neighborhood 87: Palomeras sureste (2076.58 €/m2) - District 13: Puente de Vallecas,994,225000,2143,apartment,0,0,1985.0,0,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,0,0,
4898,"San Diego, Madrid",70.0,53.71764540205605,3,1.0,3,Neighborhood 89: San Diego (2007.79 €/m2) - District 13: Puente de Vallecas,535,99000,1414,apartment,0,0,1977.0,0,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
4899,"Palomeras sureste, Madrid",30.0,30.0,0,1.0,0,Neighborhood 87: Palomeras sureste (2076.58 €/m2) - District 13: Puente de Vallecas,442,79000,2633,apartment,0,0,1966.0,0,1,1,1,0,1,1,1,1,1,1,1,1,F,0,1,,1,1,1,1,
4900,"Palomeras Bajas, Madrid",79.0,70.0,2,1.0,1,Neighborhood 86: Palomeras Bajas (1983.7 €/m2) - District 13: Puente de Vallecas,682,134000,1696,apartment,0,0,1996.0,0,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,9.0
4901,"Numancia, Madrid",60.0,43.71764540205605,2,1.0,1,Neighborhood 90: Numancia (2081.94 €/m2) - District 13: Puente de Vallecas,780,160000,2667,apartment,0,0,2006.0,1,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
4902,"Portazgo, Madrid",98.0,76.0,3,2.0,4,Neighborhood 88: Portazgo (1896.75 €/m2) - District 13: Puente de Vallecas,901,195000,1990,apartment,0,0,1989.0,0,1,1,1,1,1,1,1,1,1,1,1,1,D,0,1,,1,0,1,0,22.0
4903,"Portazgo, Madrid",71.0,54.71764540205605,2,1.0,2,Neighborhood 88: Portazgo (1896.75 €/m2) - District 13: Puente de Vallecas,948,210000,2958,apartment,0,0,2001.0,0,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,1,1,0.0,0,0,1,1,
4904,"Numancia, Madrid",30.0,28.0,2,1.0,1,Neighborhood 90: Numancia (2081.94 €/m2) - District 13: Puente de Vallecas,471,85000,2833,apartment,0,0,1960.0,0,1,1,1,0,0,1,1,1,1,1,1,1,A,0,1,,0,1,0,0,2.0
4905,"Palomeras Bajas, Madrid",101.0,84.71764540205605,4,2.0,4,Neighborhood 86: Palomeras Bajas (1983.7 €/m2) - District 13: Puente de Vallecas,1038,240000,2376,apartment,0,0,1993.0,0,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,1,1,0.0,1,0,1,0,
4906,"San Diego, Madrid",70.0,53.71764540205605,3,1.0,2,Neighborhood 89: San Diego (2007.79 €/m2) - District 13: Puente de Vallecas,739,148700,2124,apartment,0,0,1984.0,0,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,1,0,1,0,
4907,"Puente de Vallecas, Madrid",162.0,130.0,3,2.0,0,Neighborhood 85: Entrevías (1574.36 €/m2) - District 13: Puente de Vallecas,762,155000,957,apartment,0,0,1975.0,0,1,1,1,0,1,1,1,1,1,1,1,1,C,0,1,,1,0,0,0,32.0
4908,"San Diego, Madrid",31.0,14.71764540205605,1,1.0,5,Neighborhood 89: San Diego (2007.79 €/m2) - District 13: Puente de Vallecas,311,53000,1710,apartment,0,0,1965.0,1,0,1,1,0,1,1,1,1,1,1,1,1,G,0,1,,0,1,1,1,
4909,"Palomeras Bajas, Madrid",60.0,43.71764540205605,3,1.0,3,Neighborhood 86: Palomeras Bajas (1983.7 €/m2) - District 13: Puente de Vallecas,709,141000,2350,apartment,0,0,1977.0,0,1,1,1,0,1,1,1,1,1,1,1,1,E,0,1,,0,0,0,1,
4910,"San Diego, Madrid",67.0,50.71764540205605,2,1.0,1,Neighborhood 89: San Diego (2007.79 €/m2) - District 13: Puente de Vallecas,561,105000,1567,apartment,0,0,1977.0,0,1,1,1,0,1,1,1,1,1,1,1,1,D,0,1,,0,1,1,0,
4911,"Palomeras sureste, Madrid",76.0,58.0,2,1.0,2,Neighborhood 87: Palomeras sureste (2076.58 €/m2) - District 13: Puente de Vallecas,709,140900,1854,apartment,0,0,1985.0,0,1,1,1,1,1,1,1,1,1,1,1,1,E,0,1,,1,1,1,1,18.0
4912,"San Diego, Madrid",86.0,54.830769230769235,2,1.0,6,Neighborhood 89: San Diego (2007.79 €/m2) - District 13: Puente de Vallecas,1197,299000,3477,penthouse,0,1,2020.0,1,1,1,1,1,1,1,1,1,1,1,1,1,no indicado,0,1,,1,1,1,1,
4913,"Numancia, Madrid",65.0,48.71764540205605,3,1.0,2,Neighborhood 90: Numancia (2081.94 €/m2) - District 13: Puente de Vallecas,625,120000,1846,apartment,1,0,1955.0,1,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,0,1,0,0,
4914,"Numancia, Madrid",59.0,52.0,3,1.0,0,Neighborhood 90: Numancia (2081.94 €/m2) - District 13: Puente de Vallecas,535,99000,1678,apartment,1,0,1961.0,0,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,7.0
4915,"Entrevías, Madrid",80.0,70.0,3,1.0,3,Neighborhood 85: Entrevías (1574.36 €/m2) - District 13: Puente de Vallecas,646,125000,1562,apartment,0,0,1970.0,0,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,0,0,1,0,10.0
4916,"Numancia, Madrid",45.0,40.0,1,1.0,0,Neighborhood 90: Numancia (2081.94 €/m2) - District 13: Puente de Vallecas,604,115000,2556,apartment,0,0,1981.0,1,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,5.0
4917,"Numancia, Madrid",50.0,48.0,3,1.0,4,Neighborhood 90: Numancia (2081.94 €/m2) - District 13: Puente de Vallecas,539,100000,2000,apartment,0,0,1961.0,0,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,2.0
4918,"Entrevías, Madrid",101.0,81.0,3,2.0,3,Neighborhood 85: Entrevías (1574.36 €/m2) - District 13: Puente de Vallecas,777,159000,1574,apartment,0,0,1980.0,0,1,1,1,0,1,1,1,1,1,1,1,1,E,0,1,,0,0,1,0,20.0
4919,"Palomeras sureste, Madrid",68.0,55.0,2,1.0,1,Neighborhood 87: Palomeras sureste (2076.58 €/m2) - District 13: Puente de Vallecas,705,140000,2059,apartment,0,0,1970.0,1,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,0,0,1,1,13.0
4920,"Numancia, Madrid",61.0,44.71764540205605,2,1.0,0,Neighborhood 90: Numancia (2081.94 €/m2) - District 13: Puente de Vallecas,535,99000,1623,apartment,1,0,1977.0,0,1,1,1,0,1,1,1,1,1,1,1,1,D,0,1,,1,1,1,1,
4921,"Palomeras sureste, Madrid",84.0,66.0,3,1.0,2,Neighborhood 87: Palomeras sureste (2076.58 €/m2) - District 13: Puente de Vallecas,923,202000,2405,apartment,0,0,1985.0,0,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,0,0,0,1,18.0
4922,"Numancia, Madrid",67.0,58.0,3,1.0,4,Neighborhood 90: Numancia (2081.94 €/m2) - District 13: Puente de Vallecas,557,104100,1554,apartment,0,0,1977.0,1,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,9.0
4923,"Entrevías, Madrid",77.0,62.0,3,1.0,2,Neighborhood 85: Entrevías (1574.36 €/m2) - District 13: Puente de Vallecas,521,96000,1247,apartment,0,0,1972.0,1,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,15.0
4924,"Entrevías, Madrid",91.0,72.0,3,1.0,5,Neighborhood 85: Entrevías (1574.36 €/m2) - District 13: Puente de Vallecas,777,159000,1747,apartment,0,0,1972.0,0,1,1,1,1,1,1,1,1,1,1,1,1,E,0,1,,0,1,1,1,19.0
4925,"Entrevías, Madrid",128.0,103.0,4,2.0,7,Neighborhood 85: Entrevías (1574.36 €/m2) - District 13: Puente de Vallecas,813,169000,1320,duplex,0,0,1981.0,0,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,0,1,0,1,25.0
4926,"San Diego, Madrid",65.0,48.71764540205605,3,1.0,1,Neighborhood 89: San Diego (2007.79 €/m2) - District 13: Puente de Vallecas,625,120000,1846,apartment,1,0,1965.0,1,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
4927,"Puente de Vallecas, Madrid",70.0,53.71764540205605,3,1.0,0,Neighborhood 85: Entrevías (1574.36 €/m2) - District 13: Puente de Vallecas,646,125000,1786,apartment,0,0,1977.0,1,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
4928,"Portazgo, Madrid",38.0,21.71764540205605,1,1.0,0,Neighborhood 88: Portazgo (1896.75 €/m2) - District 13: Puente de Vallecas,342,59000,1553,apartment,1,0,1977.0,1,1,1,1,0,1,1,1,1,1,1,1,1,E,0,1,,1,1,1,1,
4929,"Puente de Vallecas, Madrid",56.0,35.0,2,1.0,1,Neighborhood 90: Numancia (2081.94 €/m2) - District 13: Puente de Vallecas,715,142500,2545,apartment,0,1,2020.0,1,1,1,1,1,1,1,1,1,1,1,1,1,F,0,1,,1,1,1,1,21.0
4930,"Puente de Vallecas, Madrid",54.0,50.0,3,1.0,1,Neighborhood 89: San Diego (2007.79 €/m2) - District 13: Puente de Vallecas,561,105000,1944,apartment,0,0,1961.0,1,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,0,0,1,0,4.0
4931,"Entrevías, Madrid",89.0,82.0,2,3.0,0,Neighborhood 85: Entrevías (1574.36 €/m2) - District 13: Puente de Vallecas,535,99000,1112,apartment,0,0,1968.0,0,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,7.0
4932,"San Diego, Madrid",67.0,47.0,2,1.0,2,Neighborhood 89: San Diego (2007.79 €/m2) - District 13: Puente de Vallecas,471,85000,1269,apartment,1,0,1971.0,1,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,0,0,1,1,20.0
4933,"Palomeras sureste, Madrid",23.0,22.0,0,1.0,0,Neighborhood 87: Palomeras sureste (2076.58 €/m2) - District 13: Puente de Vallecas,373,65000,2826,apartment,0,0,1970.0,1,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,1.0
4934,"Portazgo, Madrid",71.0,54.71764540205605,2,1.0,2,Neighborhood 88: Portazgo (1896.75 €/m2) - District 13: Puente de Vallecas,948,210000,2958,apartment,0,0,2001.0,0,1,1,1,1,1,1,1,1,1,1,1,1,G,1,1,0.0,1,1,1,1,
4935,"Portazgo, Madrid",99.0,82.71764540205605,3,2.0,6,Neighborhood 88: Portazgo (1896.75 €/m2) - District 13: Puente de Vallecas,833,175000,1768,apartment,0,0,1977.0,0,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
4936,"San Diego, Madrid",70.0,65.0,2,2.0,1,Neighborhood 89: San Diego (2007.79 €/m2) - District 13: Puente de Vallecas,740,149000,2129,penthouse,0,0,1950.0,1,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,0,5.0
4937,"Numancia, Madrid",80.0,63.71764540205605,3,1.0,2,Neighborhood 90: Numancia (2081.94 €/m2) - District 13: Puente de Vallecas,833,175000,2188,apartment,0,1,2020.0,1,1,1,1,1,1,1,1,1,1,1,1,1,G,0,1,,1,1,1,1,
4938,"Numancia, Madrid",71.0,61.0,0,1.0,2,Neighborhood 90: Numancia (2081.94 €/m2) - District 13: Puente de Vallecas,686,135000,1901,apartment,0,0,2003.0,0,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,0,1,0,0,10.0
4939,"Palomeras sureste, Madrid",70.0,65.0,2,1.0,1,Neighborhood 87: Palomeras sureste (2076.58 €/m2) - District 13: Puente de Vallecas,609,116000,1657,apartment,0,0,1977.0,0,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,5.0
4940,"San Diego, Madrid",60.0,43.71764540205605,2,1.0,2,Neighborhood 89: San Diego (2007.79 €/m2) - District 13: Puente de Vallecas,868,185000,3083,apartment,0,1,2020.0,0,1,1,1,1,1,1,1,1,1,1,1,1,D,0,1,,1,1,1,1,
4941,"Numancia, Madrid",124.0,74.11977715877438,4,1.0,0,Neighborhood 90: Numancia (2081.94 €/m2) - District 13: Puente de Vallecas,917,200000,1613,house,1,0,1966.0,1,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
